mapID,study,fair,parameter,estimate,pvalue,sig
1,tms,visit1,vA,0.24970279566787035,0.07420000000000004,n.s.
1,tms,visit1,v0,0.8690201939306444,0,***
1,tms,visit1,v1,-0.10369178511741689,0.0993,n.s.
1,tms,visit1,v2,-0.1535756273215414,0.0386,*
1,tms,visit1,aA,1.2223683047498524,0,***
1,tms,visit1,a0,-0.42462794877195637,0,***
1,tms,visit1,a1,0.20264230750620912,0,***
1,tms,visit1,a2,0.037474897235512276,0.0766,n.s.
1,tms,visit1,t,0.2546191693549732,0,***
2,tms,visit2,vA,0.19425315170986335,0.13270000000000004,n.s.
2,tms,visit2,v0,0.6691810127428436,0,***
2,tms,visit2,v1,0.002883587251890338,0.4788,n.s.
2,tms,visit2,v2,-0.023344886529049654,0.4042,n.s.
2,tms,visit2,aA,1.147516216425902,0,***
2,tms,visit2,a0,-0.30129813223807855,0,***
2,tms,visit2,a1,0.1928908764616037,0,***
2,tms,visit2,a2,-0.012812782536799072,0.3046,n.s.
2,tms,visit2,t,0.2453409888722432,0,***
3,tms,visit3,vA,0.12283386705426642,0.2277,n.s.
3,tms,visit3,v0,0.8124624205870576,0,***
3,tms,visit3,v1,0.004371290919760309,0.47230000000000005,n.s.
3,tms,visit3,v2,0.04097284364318809,0.32389999999999997,n.s.
3,tms,visit3,aA,1.1558161947873713,0,***
3,tms,visit3,a0,-0.3332717548376551,0,***
3,tms,visit3,a1,0.20578892749633013,0,***
3,tms,visit3,a2,-0.03386470516959275,0.0735,n.s.
3,tms,visit3,t,0.2434570627924209,0,***
4,tms,visit4,vA,-0.027750569148583603,0.4367,n.s.
4,tms,visit4,v0,1.0070203125878991,0,***
4,tms,visit4,v1,0.1421574101470672,0.05020000000000002,n.s.
4,tms,visit4,v2,0.2750445309506994,0.0014999999999999458,**
4,tms,visit4,aA,1.1383441122641809,0,***
4,tms,visit4,a0,-0.3492473525853343,0,***
4,tms,visit4,a1,0.16975852545628806,0,***
4,tms,visit4,a2,-0.04635284937517639,0.0264,*
4,tms,visit4,t,0.2549617602961446,0,***
